Model,Display Size,Display Technology,Pixel Density,Battery Capacity,Camera Resolution,CPU Manufacturing,Operating System,RAM,Internal Storage,Refresh Rate,5G,Price,Waterproof,Dustproof
Xiaomi 15 Ultra,6.73,AMOLED,522,5410,50,3,Android,16,512,120,Var,72999,8,6
Honor Magic7 Pro,6.8,OLED,453,5850,50,3,Android,12,512,120,Var,52999,9,6
Vivo X200 Pro,6.78,AMOLED,452,6000,50,3,Android,16,512,120,Var,64999,9,6
Apple iPhone 16 Pro Max,6.9,OLED,460,4685,48,3,iOS,8,1024,120,Var,114274,8,6
Xiaomi 15,6.36,AMOLED,460,5240,50,3,Android,12,512,120,Var,49402,8,6
Samsung Galaxy S25 Ultra,6.9,Dynamic AMOLED,498,5000,200,3,Android,12,1024,120,Var,82298,8,6
Apple iPhone 16 Pro Max,6.9,OLED,460,4685,48,3,iOS,8,512,120,Var,96999,8,6
Apple iPhone 16 Pro,6.3,OLED,460,3582,48,3,iOS,8,1024,120,Var,95999,8,6
Apple iPhone 16 Pro Max,6.9,OLED,460,4685,48,3,iOS,8,256,120,Var,86999,8,6
Poco F7 Ultra,6.67,AMOLED,526,5300,50,3,Android,16,512,120,Var,49999,8,6
Xiaomi 14 Ultra,6.73,AMOLED,522,5000,50,4,Android,16,512,120,Var,64899,8,6
Samsung Galaxy S25 Ultra,6.9,Dynamic AMOLED,498,5000,200,3,Android,12,256,120,Var,69236,8,6
Nubia Red Magic 10 Pro,6.85,AMOLED,431,7050,50,3,Android,24,1024,144,Var,75299,0,0
Apple iPhone 16 Pro,6.3,OLED,460,3582,48,3,iOS,8,512,120,Var,89999,8,6
Samsung Galaxy S25+,6.7,Dynamic AMOLED,513,4900,50,3,Android,12,512,120,Var,58974,8,6
Apple iPhone 15 Pro Max,6.7,OLED,460,4441,48,3,iOS,8,1024,120,Var,96843,8,6
Apple iPhone 16 Pro,6.3,OLED,460,3582,48,3,iOS,8,256,120,Var,77999,8,6
Samsung Galaxy S25+,6.7,Dynamic AMOLED,513,4900,50,3,Android,12,256,120,Var,49660,8,6
Honor Magic6 Pro,6.8,OLED,453,5600,50,4,Android,12,512,120,Var,74999,8,6
